City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,odacho-oda,35.1833,132.5,68.77,97,100,8.05,JP,2023-05-28 18:59:09
102,salcininkai,54.3,25.3833,48.29,71,19,4.18,LT,2023-05-28 18:59:09
103,tazovsky,67.4667,78.7,40.46,95,100,12.84,RU,2023-05-28 18:59:09
104,arawa,-6.2132,155.5367,84.99,73,88,1.57,PG,2023-05-28 18:59:10
105,pimentel,-6.8367,-79.9342,79.09,65,75,19.57,PE,2023-05-28 18:59:10
106,deqen,29.9618,90.7188,43.7,69,24,4.18,CN,2023-05-28 18:59:10
107,freetown,8.484,-13.2299,83.91,79,75,9.22,SL,2023-05-28 18:59:10
108,port macquarie,-31.4333,152.9167,56.89,54,5,5.32,AU,2023-05-28 18:59:11
109,padangsidempuan,1.3667,99.2667,69.3,99,80,0.98,ID,2023-05-28 18:59:11
110,gamba,-2.65,10.0,75.13,89,92,4.25,GA,2023-05-28 18:59:11
111,souillac,-20.5167,57.5167,75.58,83,40,12.66,MU,2023-05-28 18:59:12
112,san patricio,28.017,-97.5169,84.07,59,100,13.2,US,2023-05-28 18:59:12
113,buala,-8.145,159.5921,84.47,74,67,8.61,SB,2023-05-28 18:59:13
114,amvrosiyivka,47.7935,38.4777,58.33,94,22,6.76,UA,2023-05-28 18:59:14
115,kununurra,-15.7667,128.7333,60.78,44,39,5.75,AU,2023-05-28 18:59:14
116,kagoro,9.6,8.3833,69.98,89,100,0.76,NG,2023-05-28 18:59:14
117,luebo,-5.35,21.4167,72.1,66,91,1.12,CD,2023-05-28 18:59:14
118,weno,7.4515,151.8468,84.15,84,75,5.75,FM,2023-05-28 18:58:23
119,lamarque,-39.423,-65.7021,50.88,37,29,9.17,AR,2023-05-28 18:59:15
120,aykhal,66.0,111.5,51.37,67,97,4.0,RU,2023-05-28 18:59:15
121,campos altos,-19.6961,-46.1714,62.56,62,36,4.54,BR,2023-05-28 18:59:16
122,hithadhoo,-0.6,73.0833,82.58,74,48,6.06,MV,2023-05-28 18:59:16
123,north platte,41.1239,-100.7654,74.37,67,20,11.5,US,2023-05-28 18:59:16
124,carutapera,-1.195,-46.02,77.11,91,81,5.5,BR,2023-05-28 18:59:16
125,gizo,-8.103,156.8419,83.1,76,82,6.35,SB,2023-05-28 18:59:17
126,chonchi,-42.6128,-73.8092,40.21,95,100,0.63,CL,2023-05-28 18:59:17
127,kodiak,57.79,-152.4072,51.31,50,75,9.22,US,2023-05-28 18:58:19
128,rabigh,22.7986,39.0349,87.13,71,80,5.37,SA,2023-05-28 18:59:18
129,utrik,11.2278,169.8474,82.18,76,100,14.54,MH,2023-05-28 18:59:18
