City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,hithadhoo,-0.6,73.0833,81.81,75,98,3.87,MV,2023-05-29 17:28:50
124,khalkhal,37.6189,48.5258,63.68,55,100,0.6,IR,2023-05-29 17:28:51
125,porto novo,6.4965,2.6036,76.82,83,100,5.66,BJ,2023-05-29 17:28:51
126,zhigalovo,54.8097,105.1578,45.34,85,99,3.94,RU,2023-05-29 17:28:52
127,west island,-12.1568,96.8225,80.58,83,12,10.36,CC,2023-05-29 17:28:52
128,hasaki,35.7333,140.8333,69.22,96,100,8.12,JP,2023-05-29 17:28:53
129,hadibu,12.65,54.0333,84.6,76,0,7.54,YE,2023-05-29 17:28:54
130,aykhal,66.0,111.5,46.08,88,100,6.49,RU,2023-05-29 17:28:54
131,noumea,-22.2763,166.4572,73.0,99,100,6.33,NC,2023-05-29 17:28:55
132,happy valley-goose bay,53.3168,-60.3315,50.31,46,20,10.36,CA,2023-05-29 17:28:56
133,buala,-8.145,159.5921,80.92,83,100,6.49,SB,2023-05-29 17:28:57
134,swakopmund,-22.6833,14.5333,54.99,74,0,1.99,NA,2023-05-29 17:28:57
135,susuman,62.7833,148.1667,46.15,67,74,2.55,RU,2023-05-29 17:28:57
136,sao jose da coroa grande,-8.8978,-35.1478,77.76,82,82,7.27,BR,2023-05-29 17:28:58
137,sinop,41.7711,34.8709,57.29,92,100,4.45,TR,2023-05-29 17:28:58
138,jaisalmer,26.9147,70.9181,86.05,52,36,12.97,IN,2023-05-29 17:28:59
139,villa gesell,-37.2639,-56.973,52.05,73,100,9.19,AR,2023-05-29 17:28:59
140,haiku-pauwela,20.9219,-156.3051,82.42,58,40,26.46,US,2023-05-29 17:29:00
141,san salvador de jujuy,-24.1946,-65.2971,53.13,65,69,3.0,AR,2023-05-29 17:29:00
142,pisco,-13.7,-76.2167,71.65,68,0,14.97,PE,2023-05-29 17:24:38
143,lae,-6.7221,146.9847,75.87,80,100,5.01,PG,2023-05-29 17:29:03
144,vorgashor,67.5833,63.95,46.94,88,100,13.47,RU,2023-05-29 17:29:03
145,dadukou,26.5479,101.7054,74.19,42,0,1.12,CN,2023-05-29 17:29:04
146,aripuana,-9.1667,-60.6333,85.5,56,97,2.19,BR,2023-05-29 17:29:05
